Partlist

Exported from backplane.sch at 2023-01-23 20:40:50

EAGLE Version 5.7.0 Copyright (c) 1988-2010 CadSoft

Part     Value            Device                    Package           Library    Sheet

C1       100n             C0805                     0805              capsmd     7
C2       100n             C0805                     0805              capsmd     6
C3       100n             C0805                     0805              capsmd     8
C4       100n             C0805                     0805              capsmd     9
C5       100n             C0805                     0805              capsmd     2
C6       100n             C0805                     0805              capsmd     2
C7       100n             C0805                     0805              capsmd     4
C8       100n             C0805                     0805              capsmd     4
C9       100n             C0805                     0805              capsmd     4
C10      100n             C0805                     0805              capsmd     4
C11      100n             C0805                     0805              capsmd     4
C12      100n             C0805                     0805              capsmd     4
C13      1n               C0805                     0805              capsmd     4
C14      100n             C0805                     0805              capsmd     4
C15      1n               C0805                     0805              capsmd     4
C16      100n             C0805                     0805              capsmd     2
C17      100n             C0805                     0805              capsmd     2
C18      100n             C0805                     0805              capsmd     2
C19      100n             C0805                     0805              capsmd     4
C20      1n               C0805                     0805              capsmd     4
D1       BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     6
D2       BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     6
D3       BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     6
D4       BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     6
D5       BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     7
D6       BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     7
D7       BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     7
D8       BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     7
D9       BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     8
D10      BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     8
D11      BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     8
D12      BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     8
D13      BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     9
D14      BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     9
D15      BRS-LEVELSHIFTER BRS-LEVELSHIFTER          BRS-LEVELSHIFTER  anders     9
D16      1N4148-Y         1N4148-Y                  SOD123            diode      3
