Comment,Designator,Footprint,
10,"R23,R24",0805,C17415
330,"R7,R8,R18,R19",0805,
100n,"C3,C5,C6,C7,C8,C9,C10",0805,
100uF/10V,"C1,C2,C4",PANASONIC_D,
10k,"R5,R10,R11,R16,R21,R22",0805,
1k,"R1,R4,R12,R14,R15,R17",0805,
1k5,"R9,R20",0805,
6k8,"R6",0805,
1N4148W,"D1,D2,D3,D4,D5,D6",SOD123,
NOT_MOUNT,JP3,,
NOT_MOUNT,JP1,,
NOT_MOUNT,JP4,,
2N7002,"T1,T2,T3,T4,T5,T6,T7,T8",SOT23,
3k3,"R2,R3,R13",0805,
74LVC573,IC2,SO20W,
BSS84,"Q1,Q2,Q3,Q4",SOT23,
LM319,IC1,SO14,C7941
NOT_MOUNT,"J1,J2",,
NOT_MOUNT,"K1,K2,K3,K4",,
