Designator,Mid X,Mid Y,Layer,Rotation
C1,27.94mm,85.09mm,Top,270
C2,20.32mm,85.09mm,Top,270
C3,29.21mm,38.735mm,Top,180
C4,12.7mm,85.09mm,Top,270
C5,42.2275mm,66.04mm,Top,90
C6,40.9575mm,60.96mm,Top,270
C7,26.67mm,66.04mm,Top,90
C8,25.4mm,60.96mm,Top,270
C9,11.43mm,79.0575mm,Top,180
C10,17.78mm,60.96mm,Top,0
D1,43.815mm,60.96mm,Top,90
D2,31.75mm,2.54mm,Top,180
D3,31.75mm,20.32mm,Top,180
D4,28.2575mm,60.96mm,Top,90
D5,21.59mm,2.54mm,Top,180
D6,21.59mm,20.32mm,Top,180
IC1,29.21mm,44.45mm,Top,270
IC2,14.605mm,52.07mm,Top,270
J1,48.735mm,42.2275mm,Top,0
J2,48.735mm,35.2425mm,Top,0
JP1,1.27mm,76.2mm,Top,90
JP2,1.27mm,46.99mm,Top,90
JP3,1.27mm,15.24mm,Top,90
K1,31.75mm,10.16mm,Top,90
K2,31.75mm,27.94mm,Top,90
K3,21.59mm,10.16mm,Top,90
K4,21.59mm,27.94mm,Top,90
Q1,38.1mm,66.04mm,Top,90
Q2,46.0375mm,66.04mm,Top,90
Q3,22.5425mm,66.04mm,Top,90
Q4,30.48mm,66.04mm,Top,90
R1,39.0525mm,71.12mm,Top,270
R2,35.56mm,43.18mm,Top,90
R3,35.56mm,48.26mm,Top,270
R4,46.99mm,71.12mm,Top,270
R5,41.91mm,43.18mm,Top,270
R6,38.1mm,43.18mm,Top,270
R7,37.1475mm,60.96mm,Top,270
R8,47.3075mm,60.6425mm,Top,270
R9,42.2275mm,54.61mm,Top,90
R10,43.18mm,10.795mm,Top,90
R11,43.18mm,26.035mm,Top,90
R12,23.495mm,71.12mm,Top,270
R13,22.86mm,40.9575mm,Top,270
R14,9.525mm,39.0525mm,Top,90
R15,31.4325mm,71.12mm,Top,270
R16,20.32mm,40.9575mm,Top,90
R17,12.065mm,39.0525mm,Top,90
R18,21.59mm,60.96mm,Top,270
R19,31.75mm,60.96mm,Top,270
R20,26.67mm,54.61mm,Top,90
R21,43.18mm,17.145mm,Top,90
R22,43.18mm,32.385mm,Top,90
R23,12.3825mm,20.32mm,Top,180
R24,12.3825mm,13.97mm,Top,180
T1,38.1mm,55.88mm,Top,270
T2,46.0375mm,55.88mm,Top,90
T3,39.37mm,6.35mm,Top,90
T4,39.37mm,24.13mm,Top,90
T5,22.5425mm,55.88mm,Top,270
T6,30.48mm,55.88mm,Top,90
T7,39.37mm,12.7mm,Top,90
T8,39.37mm,30.48mm,Top,90
