Part     Value          Package      Sheet

C1       100uF/10V      PANASONIC_D  1
C2       100uF/10V      PANASONIC_D  1
C4       100uF/10V      PANASONIC_D  1
C6       100n           0805         2
C10      100n           0805         1
D2       1N4148-Y       SOD123       2
IC2      74LVC573D      SO20         1
JP1                     1X05/90      1
JP2                     1X12/90      1
JP3                     1X02/90      1
JP4                     1X02/90      1
K1       V23079-A1001   V23079-A100X 2
Q1       BSS84          SOT23        2
Q2       BSS84          SOT23        2
Q3       BSS84          SOT23        2
Q4       BSS84          SOT23        2
Q5       BSS84          SOT23        2
Q6       BSS84          SOT23        2
R1       750R           R0805        2
R2       750R           R0805        2
R3       187R           R0805        2
R4       1k             R0805        2
R5       187R           R0805        2
R6       1k             R0805        2
R7       1k             R0805        2
R8       1k             R0805        2
R9       1k5            R0805        2
R10      10k            R0805        2
R11      1k             R0805        2
R12      1k             R0805        2
R13      1k             R0805        2
R14      1k             R0805        2
R15      1k             R0805        2
R16      1k             R0805        2
R17      1k             R0805        2
R18      187R           R0805        2
R19      1k             R0805        2
R20      187R           R0805        2
R21      750R           R0805        2
R22      187R           R0805        2
R23      187R           R0805        2
R24      187R           R0805        2
T1       AO3004A        SOT23        2
T2       AO3004A        SOT23        2
T3       AO3004A        SOT23        2
T4       AO3004A        SOT23        2
T5       AO3004A        SOT23        2
T9       AO3004A        SOT23        2
T10      AO3004A        SOT23        2
