Part     Value          Package   Sheet

C1       100n           0805      1
C2       10u            SMC_A     1
C3       100n           0805      1
C4       10u            SMC_A     1
C5       10u            SMC_A     2
C6       470u           E5-13     1
C7       470u           E5-13     1
C8       470u           E5-13     1
C9       470u           E5-13     1
C10      10u            SMC_A     1
C11      100n           0805      1
C12      100n           0805      2
C13      100n           0805      2
C14      100n           0805      2
IC1      LM1085         317TS     1
IC2      LM317          317TS     1
IC3      LM4040-2,5     SOT23     2
IC4      AD825          SO08      2
IC5      LM1117-3.3     SOT223    1
J1       PLINT3         PLINT3    1
J2       PLINT3         PLINT3    1
JP1      -15V           1X02      2
JP2      +3,3V          1X02      2
JP3      +5V            1X02      2
JP4      GND            1X02      2
JP5      +3,3V          1X02      2
JP6      +10V           1X02      2
JP7      -3V            1X02      2
JP8      +15V           1X02      2
KK1      SK104-PAD      SK104-PAD 1
KK2      SK104-PAD      SK104-PAD 1
KK3      SK104-PAD      SK104-PAD 2
Q1       IRF9530        TO220BV   2
R1       1k             R0805     2
R2       2k             SP19L     2
R3       394            R0805     1
R4       240            R0805     1
R5       1691           R0805     1
R6       240            R0805     1
R7       10k            R0805     2
R8       100            R0805     2
R9       1k             R0805     2
R10      1k             R0805     2
